realtime_start,realtime_end,date,value
2025-05-13,2025-05-13,1931-01-01,15.9
2025-05-13,2025-05-13,1931-02-01,15.7
2025-05-13,2025-05-13,1931-03-01,15.6
2025-05-13,2025-05-13,1931-04-01,15.5
2025-05-13,2025-05-13,1931-05-01,15.3
2025-05-13,2025-05-13,1931-06-01,15.1
2025-05-13,2025-05-13,1931-07-01,15.1
2025-05-13,2025-05-13,1931-08-01,15.1
2025-05-13,2025-05-13,1931-09-01,15.0
2025-05-13,2025-05-13,1931-10-01,14.9
2025-05-13,2025-05-13,1931-11-01,14.7
2025-05-13,2025-05-13,1931-12-01,14.6
2025-05-13,2025-05-13,1932-01-01,14.3
2025-05-13,2025-05-13,1932-02-01,14.1
2025-05-13,2025-05-13,1932-03-01,14.0
2025-05-13,2025-05-13,1932-04-01,13.9
2025-05-13,2025-05-13,1932-05-01,13.7
2025-05-13,2025-05-13,1932-06-01,13.6
2025-05-13,2025-05-13,1932-07-01,13.6
2025-05-13,2025-05-13,1932-08-01,13.5
2025-05-13,2025-05-13,1932-09-01,13.4
2025-05-13,2025-05-13,1932-10-01,13.3
2025-05-13,2025-05-13,1932-11-01,13.2
2025-05-13,2025-05-13,1932-12-01,13.1
2025-05-13,2025-05-13,1933-01-01,12.9
2025-05-13,2025-05-13,1933-02-01,12.7
2025-05-13,2025-05-13,1933-03-01,12.6
2025-05-13,2025-05-13,1933-04-01,12.6
2025-05-13,2025-05-13,1933-05-01,12.6
2025-05-13,2025-05-13,1933-06-01,12.7
2025-05-13,2025-05-13,1933-07-01,13.1
2025-05-13,2025-05-13,1933-08-01,13.2
2025-05-13,2025-05-13,1933-09-01,13.2
2025-05-13,2025-05-13,1933-10-01,13.2
2025-05-13,2025-05-13,1933-11-01,13.2
2025-05-13,2025-05-13,1933-12-01,13.2
2025-05-13,2025-05-13,1934-01-01,13.2
2025-05-13,2025-05-13,1934-02-01,13.3
2025-05-13,2025-05-13,1934-03-01,13.3
2025-05-13,2025-05-13,1934-04-01,13.3
2025-05-13,2025-05-13,1934-05-01,13.3
2025-05-13,2025-05-13,1934-06-01,13.4
2025-05-13,2025-05-13,1934-07-01,13.4
2025-05-13,2025-05-13,1934-08-01,13.4
2025-05-13,2025-05-13,1934-09-01,13.6
2025-05-13,2025-05-13,1934-10-01,13.5
2025-05-13,2025-05-13,1934-11-01,13.5
2025-05-13,2025-05-13,1934-12-01,13.4
2025-05-13,2025-05-13,1935-01-01,13.6
2025-05-13,2025-05-13,1935-02-01,13.7
2025-05-13,2025-05-13,1935-03-01,13.7
2025-05-13,2025-05-13,1935-04-01,13.8
2025-05-13,2025-05-13,1935-05-01,13.8
2025-05-13,2025-05-13,1935-06-01,13.7
2025-05-13,2025-05-13,1935-07-01,13.7
2025-05-13,2025-05-13,1935-08-01,13.7
2025-05-13,2025-05-13,1935-09-01,13.7
2025-05-13,2025-05-13,1935-10-01,13.7
2025-05-13,2025-05-13,1935-11-01,13.8
2025-05-13,2025-05-13,1935-12-01,13.8
2025-05-13,2025-05-13,1936-01-01,13.8
2025-05-13,2025-05-13,1936-02-01,13.8
2025-05-13,2025-05-13,1936-03-01,13.7
2025-05-13,2025-05-13,1936-04-01,13.7
2025-05-13,2025-05-13,1936-05-01,13.7
2025-05-13,2025-05-13,1936-06-01,13.8
2025-05-13,2025-05-13,1936-07-01,13.9
2025-05-13,2025-05-13,1936-08-01,14.0
2025-05-13,2025-05-13,1936-09-01,14.0
2025-05-13,2025-05-13,1936-10-01,14.0
2025-05-13,2025-05-13,1936-11-01,14.0
2025-05-13,2025-05-13,1936-12-01,14.0
2025-05-13,2025-05-13,1937-01-01,14.1
2025-05-13,2025-05-13,1937-02-01,14.1
2025-05-13,2025-05-13,1937-03-01,14.2
2025-05-13,2025-05-13,1937-04-01,14.3
2025-05-13,2025-05-13,1937-05-01,14.4
2025-05-13,2025-05-13,1937-06-01,14.4
2025-05-13,2025-05-13,1937-07-01,14.5
2025-05-13,2025-05-13,1937-08-01,14.5
2025-05-13,2025-05-13,1937-09-01,14.6
2025-05-13,2025-05-13,1937-10-01,14.6
2025-05-13,2025-05-13,1937-11-01,14.5
2025-05-13,2025-05-13,1937-12-01,14.4
2025-05-13,2025-05-13,1938-01-01,14.2
2025-05-13,2025-05-13,1938-02-01,14.1
2025-05-13,2025-05-13,1938-03-01,14.1
2025-05-13,2025-05-13,1938-04-01,14.2
2025-05-13,2025-05-13,1938-05-01,14.1
2025-05-13,2025-05-13,1938-06-01,14.1
2025-05-13,2025-05-13,1938-07-01,14.1
2025-05-13,2025-05-13,1938-08-01,14.1
2025-05-13,2025-05-13,1938-09-01,14.1
2025-05-13,2025-05-13,1938-10-01,14.0
2025-05-13,2025-05-13,1938-11-01,14.0
2025-05-13,2025-05-13,1938-12-01,14.0
2025-05-13,2025-05-13,1939-01-01,14.0
2025-05-13,2025-05-13,1939-02-01,13.9
2025-05-13,2025-05-13,1939-03-01,13.9
2025-05-13,2025-05-13,1939-04-01,13.8
2025-05-13,2025-05-13,1939-05-01,13.8
2025-05-13,2025-05-13,1939-06-01,13.8
2025-05-13,2025-05-13,1939-07-01,13.8
2025-05-13,2025-05-13,1939-08-01,13.8
2025-05-13,2025-05-13,1939-09-01,14.1
2025-05-13,2025-05-13,1939-10-01,14.0
2025-05-13,2025-05-13,1939-11-01,14.0
2025-05-13,2025-05-13,1939-12-01,14.0
2025-05-13,2025-05-13,1940-01-01,13.9
2025-05-13,2025-05-13,1940-02-01,14.0
2025-05-13,2025-05-13,1940-03-01,14.0
2025-05-13,2025-05-13,1940-04-01,14.0
2025-05-13,2025-05-13,1940-05-01,14.0
2025-05-13,2025-05-13,1940-06-01,14.1
2025-05-13,2025-05-13,1940-07-01,14.0
2025-05-13,2025-05-13,1940-08-01,14.0
2025-05-13,2025-05-13,1940-09-01,14.0
2025-05-13,2025-05-13,1940-10-01,14.0
2025-05-13,2025-05-13,1940-11-01,14.0
2025-05-13,2025-05-13,1940-12-01,14.1
2025-05-13,2025-05-13,1941-01-01,14.1
2025-05-13,2025-05-13,1941-02-01,14.1
2025-05-13,2025-05-13,1941-03-01,14.2
2025-05-13,2025-05-13,1941-04-01,14.3
2025-05-13,2025-05-13,1941-05-01,14.4
2025-05-13,2025-05-13,1941-06-01,14.7
2025-05-13,2025-05-13,1941-07-01,14.7
